treatment_arm,spend_effect,spend_ci_low,spend_ci_high,profit_per_email,profit_ci_low,profit_ci_high,p_value,break_even_spend,break_even_margin,break_even_margin_low,break_even_margin_high,margin,cost,profitable
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,0.07732366478097899,0.0006870369651336,0.15396029259682437,0.04798130780282929,0.16666666666666666,0.11780999255560906,0.07354372661962706,0.29593365282563533,0.30000000000000004,0.05,True
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.130948146768361,0.04554191977052224,0.21635437376619976,0.0026559249551067546,0.3333333333333333,0.12989928873553483,0.09483036268109687,0.20612618032867347,0.30000000000000004,0.1,True
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,0.02732366478097903,-0.049312963034866375,0.10396029259682443,0.48467014578942585,0.3333333333333333,0.23561998511121812,0.14708745323925412,0.5918673056512707,0.30000000000000004,0.1,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.030948146768360968,-0.054458080229477776,0.11635437376619971,0.4775573935071974,0.6666666666666666,0.25979857747106966,0.18966072536219375,0.41225236065734694,0.30000000000000004,0.2,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.072676335219021,-0.1493129630348664,0.003960292596824386,0.06307181427532738,0.6666666666666666,0.47123997022243624,0.29417490647850825,1.1837346113025413,0.30000000000000004,0.2,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,-0.06905185323163895,-0.1544580802294777,0.016354373766199803,0.1130421642773289,0.9999999999999998,0.3896978662066044,0.2844910880432906,0.6183785409860204,0.30000000000000004,0.3,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.17267633521902098,-0.24931296303486639,-0.09603970740317559,1.0067164371342018e-05,0.9999999999999998,0.7068599553336543,0.44126235971776234,1.7756019169538118,0.30000000000000004,0.3,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.2194395045630878,0.11979890639894258,0.31908010272723303,1.588722463275217e-05,0.14285714285714282,0.06494964436776741,0.04741518134054844,0.10306309016433673,0.3500000000000001,0.05,True
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,0.09854427557780887,0.009134876459322552,0.1879536746962952,0.030757144539956875,0.14285714285714282,0.11780999255560906,0.07354372661962706,0.29593365282563533,0.3500000000000001,0.05,True
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.16943950456308787,0.06979890639894265,0.2690801027272331,0.0008598698637839255,0.28571428571428564,0.12989928873553483,0.09483036268109687,0.20612618032867347,0.3500000000000001,0.1,True
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,0.04854427557780888,-0.04086512354067744,0.13795367469629521,0.2872525057418254,0.28571428571428564,0.23561998511121812,0.14708745323925412,0.5918673056512707,0.3500000000000001,0.1,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.06943950456308784,-0.030201093601057383,0.16908010272723306,0.1719650971271478,0.5714285714285713,0.25979857747106966,0.18966072536219375,0.41225236065734694,0.3500000000000001,0.2,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.05145572442219118,-0.14086512354067748,0.03795367469629514,0.2593237865599575,0.5714285714285713,0.47123997022243624,0.29417490647850825,1.1837346113025413,0.3500000000000001,0.2,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,-0.03056049543691211,-0.13020109360105733,0.06908010272723311,0.5477404448497545,0.8571428571428569,0.3896978662066044,0.2844910880432906,0.6183785409860204,0.3500000000000001,0.3,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.1514557244221911,-0.2408651235406774,-0.06204632530370478,0.0009003454669362665,0.8571428571428569,0.7068599553336543,0.44126235971776234,1.7756019169538118,0.3500000000000001,0.3,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.2579308623578147,0.144055893027363,0.3718058316882664,9.041638131746389e-06,0.12499999999999997,0.06494964436776741,0.04741518134054844,0.10306309016433673,0.40000000000000013,0.05,True
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,0.11976488637463867,0.01758271595351145,0.22194705679576587,0.02160743059034333,0.12499999999999997,0.11780999255560906,0.07354372661962706,0.29593365282563533,0.40000000000000013,0.05,True
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.20793086235781477,0.09405589302736306,0.3218058316882665,0.00034544980756898364,0.24999999999999994,0.12989928873553483,0.09483036268109687,0.20612618032867347,0.40000000000000013,0.1,True
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,0.06976488637463873,-0.032417284046488484,0.17194705679576594,0.18083688160813957,0.24999999999999994,0.23561998511121812,0.14708745323925412,0.5918673056512707,0.40000000000000013,0.1,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.10793086235781474,-0.0059441069726369755,0.22180583168826645,0.06321707416706948,0.4999999999999999,0.25979857747106966,0.18966072536219375,0.41225236065734694,0.40000000000000013,0.2,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.030235113625361354,-0.13241728404648856,0.07194705679576587,0.5619451672389307,0.4999999999999999,0.47123997022243624,0.29417490647850825,1.1837346113025413,0.40000000000000013,0.2,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.007930862357814705,-0.10594410697263701,0.12180583168826642,0.891421329234006,0.7499999999999998,0.3896978662066044,0.2844910880432906,0.6183785409860204,0.40000000000000013,0.3,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.1302351136253613,-0.23241728404648854,-0.028052943204234085,0.012489188389427952,0.7499999999999998,0.7068599553336543,0.44126235971776234,1.7756019169538118,0.40000000000000013,0.3,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.29642222015254144,0.1683128796557833,0.4245315606492996,5.774256456676336e-06,0.11111111111111109,0.06494964436776741,0.04741518134054844,0.10306309016433673,0.4500000000000001,0.05,True
